string,count
aangehouden,14393
voorzitter,14385
boven,14372
internationale,14325
turkije,14315
betrokken,14284
rol,14240
vanochtend,14176
politiek,14121
erg,14039
zetten,13979
open,13969
leden,13945
gebruik,13905
konden,13889
gekregen,13830
brengen,13818
kort,13809
vvd,13801
autoriteiten,13792
even,13750
daarnaast,13743
weet,13700
straat,13678
zorg,13626
maart,13544
medewerkers,13524
actie,13487
parlement,13457
regio,13451
hoofdstad,13432
belangrijk,13400
nederlanders,13392
januari,13342
betekent,13309
soort,13297
vluchtelingen,13259
geworden,13256
utrecht,13134
verdachten,13116
kleine,13103
veroordeeld,13099
frankrijk,13071
ervan,13005
besluit,12998
doordat,12996
school,12959
krant,12952
zeer,12932
erop,12906
schade,12881
enige,12876
stellen,12865
strijd,12842
steun,12801
houdt,12793
geeft,12789
precies,12775
gesprek,12755
stelt,12753
kosten,12708
volgende,12696
meter,12685
anderen,12655
ander,12654
kritiek,12653
probleem,12626
lopen,12614
soms,12577
me,12577
acht,12575
economische,12516
advocaat,12510
vaker,12504
halen,12497
hoger,12493
verklaring,12450
eu,12440
brief,12435
jonge,12429
zat,12374
gebeurt,12358
handen,12343
cijfers,12339
risico,12323
regels,12263
akkoord,12252
dollar,12251
leiden,12249
gevolgen,12200
beelden,12179
plek,12150
liet,12126
plannen,12078
neemt,12069
zeven,12065
koning,12046
pvda,12011
mei,11985
grens,11969
sprake,11966
lange,11949
welke,11942
staatssecretaris,11914
naast,11912
derde,11895
directeur,11893
buurt,11879
vrij,11858
basis,11842
turkse,11818
hand,11816
reden,11801
slachtoffer,11761
geraakt,11720
elke,11688
april,11681
overleden,11680
ongeluk,11669
naam,11656
reactie,11650
contact,11624
vader,11616
beide,11586
economie,11580
rapport,11572
honderden,11506
gingen,11474
waarom,11442
begon,11381
bezig,11374
gevraagd,11347
direct,11330
geldt,11324
radio,11315
september,11293
niemand,11195
besloten,11179
vervolgens,11171
gisteravond,11170
helpen,11166
daarvan,11144
voordat,11125
new,11104
oorlog,11072
sprak,11059
zodat,11055
huidige,11052
inwoners,11052
nam,11040
duizenden,11002
eigenlijk,10982
moeder,10978
onduidelijk,10967
gebruiken,10966
uitspraak,10940
gehad,10931
obama,10927
bovendien,10908
belangrijke,10894
vroeg,10827
waarop,10816
vrijdag,10816
hard,10814
gezet,10804
moesten,10803
cda,10799
horen,10740
juni,10733
werkt,10733
moord,10732
loopt,10717
juli,10715
gegeven,10696
twitter,10693
helft,10690
toekomst,10673
facebook,10611
afspraken,10534
nationale,10503
kregen,10449
meerderheid,10447
chinese,10442
aandacht,10428
militaire,10427
dezelfde,10412
video,10408
hoog,10394
oktober,10339
volgend,10338
vanmiddag,10306
bekendgemaakt,10301
denken,10287
beeld,10277
burgers,10237
bezoek,10232
dieren,10168
gebeurde,10165
raakte,10165
banken,10156
prijs,10153
melden,10133
december,10105
aanleiding,10099
provincie,10067
begonnen,10015
klanten,10014
rijden,10010
scholen,10009
valt,9989
brussel,9975
langs,9969
einde,9957
vond,9952
lokale,9941
iran,9938
spelen,9933
verdacht,9928
thuis,9916
onderzoekers,9890
aanslagen,9824
vanavond,9818
misschien,9812
mij,9795
correspondent,9791
delen,9783
natuurlijk,9783
bewoners,9781
spreekt,9774
defensie,9744
november,9733
vallen,9721
half,9706
grond,9691
gaf,9685
gesloten,9683
onderwijs,9646
terecht,9629
belangrijkste,9622
hoofd,9607
maandag,9560
oude,9555
syrische,9545
rekening,9509
wonen,9499
centrum,9499
weekend,9464
aanval,9434
collega,9418
meteen,9411
periode,9409
zowel,9406
korte,9391
blij,9359
cel,9340
zag,9337
getroffen,9333
gebeuren,9331
personeel,9323
steden,9307
programma,9254
twintig,9251
crisis,9248
dienst,9243
noemde,9242
jongen,9239
hoeveel,9238
groningen,9228
belgische,9220
moeilijk,9212
denk,9210
recht,9201
praten,9201
werknemers,9195
kind,9142
zware,9111
zoveel,9099
nacht,9099
vertrouwen,9077
studenten,9066
gegaan,9041
voorlopig,9031
universiteit,9030
waarmee,9026
hoopt,9013
kant,8997
debat,8987
zwaar,8982
ooit,8974
dicht,8959
beste,8934
ervoor,8933
berichten,8928
plaatsen,8923
gebeurd,8872
plekken,8861
zee,8859
zomer,8852
wilders,8845
daarop,8836
schip,8825
verantwoordelijk,8811
raakten,8809
gesproken,8808
beroep,8796
verhaal,8772
wachten,8732
leider,8727
aanwezig,8710
zwarte,8698
wapens,8677
volgen,8676
zichzelf,8670
wanneer,8669
benadrukt,8625
vuur,8597
stichting,8586
normaal,8576
bestaat,8550
onderzoeken,8543
macht,8526
bang,8514
belang,8507
zondag,8493
ieder,8479
demonstranten,8467
daarin,8444
gevolg,8434
stuk,8431
huizen,8415
februari,8402
slecht,8379
ontstaan,8374
woning,8363
gehaald,8362
ingezet,8357
ruimte,8348
brandweer,8340
koningin,8329
overleg,8327
gesprekken,8320
bedrag,8307
york,8305
bevolking,8301
meest,8280
sluiten,8269
meisje,8260
online,8240
stoppen,8230
honderd,8220
proberen,8214
proces,8200
klein,8199
unie,8190
verwachting,8187
vol,8160
augustus,8140
onderzocht,8138
wilden,8137
begint,8122
hoewel,8115
gemiddeld,8113
hoop,8090
genoemd,8081
zaterdag,8079
gegevens,8058
parijs,8024
gevaar,8020
oplossing,8016
termijn,8007
markt,8001
internet,7993
griekenland,7984
buitenland,7982
ondanks,7973
wijst,7934
volledig,7898
vliegtuig,7897
leidde,7892
vlucht,7884
amerikanen,7873
baan,7873
wist,7869
liep,7855
advies,7829
ziekenhuizen,7815
gebouw,7798
lijst,7786
kunt,7773
noorden,7752
verband,7751
veilig,7743
graden,7737
website,7716
spreken,7712
leidt,7711
flink,7696
voeren,7695
elk,7684
poetin,7684
speciale,7666
schiphol,7664
leerlingen,7649
overigens,7646
besloot,7628
trekken,7607
islamitische,7605
ver,7603
pvv,7591
verkocht,7549
vannacht,7503
museum,7473
graag,7469
virus,7461
samenwerking,7460
leggen,7460
eigenaar,7450
spoor,7410
negen,7402
last,7393
zoon,7388
asielzoekers,7376
orde,7357
groter,7352
slechts,7346
hoogte,7333
